GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
carrito,com.tienda,Producto,3,18,0,0,1,7,1,3,1,3
carrito,com.tienda,CarritoService,0,75,0,8,0,17,0,9,0,5
